"code_spygen","station","latitude_start","longitude_start","date","mean_sss_1year","median_sss_1year","q95_sss_1year","q05_sss_1year","min_sss_1year","max_sss_1year","mean_sss_5year","median_sss_5year","q95_sss_5year","q05_sss_5year","min_sss_5year","max_sss_5year"
"SPY180604","malpelo4","3.99871","-81.62184","2018-03-15",32.520723929772,32.3785934448242,33.2378639221191,31.8357429504395,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
"SPY180782","camera1","4.00594","-81.60334","2018-03-24",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180778","camera1","4.00594","-81.60334","2018-03-24",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180781","camera2","4.00276","-81.60248","2018-03-24",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180776","camera2","4.00276","-81.60248","2018-03-24",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180605","camera3","4.00286","-81.60259","2018-03-25",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180601","camera3","4.00286","-81.60259","2018-03-25",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180603","bruv1","3.99357","-81.61842","2018-03-26",32.473473072052,32.3733043670654,33.2501499176025,31.8333840370178,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
"SPY180775","bruv1","3.99357","-81.61842","2018-03-26",32.473473072052,32.3733043670654,33.2501499176025,31.8333840370178,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
"SPY180779","bruv2","3.9929","-81.6205","2018-03-26",32.473473072052,32.3733043670654,33.2501499176025,31.8333840370178,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
"SPY180777","bruv2","3.9929","-81.6205","2018-03-26",32.473473072052,32.3733043670654,33.2501499176025,31.8333840370178,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
"SPY180768","camera4","4.00226","-81.60371","2018-03-27",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180769","camera4","4.00202","-81.60332","2018-03-27",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180780","camera5","4.0023","-81.60392","2018-03-27",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180773","camera5","4.0023","-81.60392","2018-03-27",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY173261","anse_bertrand_cote","16.48538","-61.50429","2018-02-27",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
"SPY173262","anse_bertrand_cote","16.48538","-61.50429","2018-02-27",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
"SPY173263","anse_bertrand_large","16.50096","-61.51445","2018-02-27",35.3089122772217,35.2787494659424,36.0529541015625,34.6561050415039,34.6210670471191,36.1115493774414,35.3147649765015,35.3546886444092,36.1585849761963,34.2430601119995,33.9727745056152,36.2812767028809
"SPY173264","anse_bertrand_large","16.50096","-61.51445","2018-02-27",35.3089122772217,35.2787494659424,36.0529541015625,34.6561050415039,34.6210670471191,36.1115493774414,35.3147649765015,35.3546886444092,36.1585849761963,34.2430601119995,33.9727745056152,36.2812767028809
"SPY173265","anse_colas","16.47047","-61.52166","2018-02-27",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
"SPY173266","anse_colas","16.47047","-61.52166","2018-02-27",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
