"code_spygen","station","latitude_start","longitude_start","date","mean_DHW_1year","median_DHW_1year","q95_DHW_1year","q05_DHW_1year","min_DHW_1year","max_DHW_1year","mean_DHW_5year","median_DHW_5year","q95_DHW_5year","q05_DHW_5year","min_DHW_5year","max_DHW_5year"
"SPY182546","banyuls19_3","42.351981","3.187986","2019-07-10",1.49931690637837,0,6.29999985918403,0,0,6.29999985918403,0.521337760744287,0,3.4379999231547,0,0,6.29999985918403
"SPY182545","banyuls19_3","42.351981","3.187986","2019-07-10",1.49931690637837,0,6.29999985918403,0,0,6.29999985918403,0.521337760744287,0,3.4379999231547,0,0,6.29999985918403
"SPY181890","baie _de_villefranche","43.689708","7.309035","2019-03-19",4.65275945884425,0,19.7799995578825,0,0,20.2699995469302,2.07795966765405,0,13.1099997069687,0,0,20.2699995469302
"SPY181511","baie _de_villefranche","43.689708","7.309035","2019-03-19",4.65275945884425,0,19.7799995578825,0,0,20.2699995469302,2.07795966765405,0,13.1099997069687,0,0,20.2699995469302
"SPY180785","baie _de_villefranche","43.689708","7.309035","2019-03-19",4.65275945884425,0,19.7799995578825,0,0,20.2699995469302,2.07795966765405,0,13.1099997069687,0,0,20.2699995469302
"SPY181893","baie _de_villefranche","43.689708","7.309035","2019-03-19",4.65275945884425,0,19.7799995578825,0,0,20.2699995469302,2.07795966765405,0,13.1099997069687,0,0,20.2699995469302
"SPY192321","banc_de_magaud","43.056244","6.673749","2019-07-05",5.12715835534443,0,20.9524995316751,0,0,22.2199995033443,1.94493620425042,0,11.4689997436478,0,0,22.2199995033443
"SPY190608","banc_de_magaud","43.056244","6.673749","2019-07-05",5.12715835534443,0,20.9524995316751,0,0,22.2199995033443,1.94493620425042,0,11.4689997436478,0,0,22.2199995033443
"SPY192290","banc_de_magaud","43.056244","6.673749","2019-07-05",5.12715835534443,0,20.9524995316751,0,0,22.2199995033443,1.94493620425042,0,11.4689997436478,0,0,22.2199995033443
"SPY190603","beach_rock_cassis_1","43.17588","5.40324","2019-07-01",3.06811468552065,0,12.3999997228384,0,0,13.3499997016042,1.22607422700776,0,7.27599983736872,0,0,13.3499997016042
"SPY190600","beach_rock_cassis_2","43.16821","5.5495","2019-07-01",3.12341523073267,0,12.7199997156858,0,0,13.6099996957928,1.27292754306337,0,7.37799983508883,0,0,13.6099996957928
"SPY190566","beach_rock_cassis_3","43.169","5.54909","2019-07-01",3.12341523073267,0,12.7199997156858,0,0,13.6099996957928,1.27292754306337,0,7.37799983508883,0,0,13.6099996957928
